sensor type:,aurora
timestamp (s),arclength (m),data
-0.052,0.0,2.1586161225185745e-06,5.5622449927006305e-06,0.0001779583213743152,0.0005095877750770384,0.0001465917318972127,-1.696932297831072e-05
-0.032,0.0,2.1586161225185745e-06,5.5622449927006305e-06,0.0001779583213743152,0.0005095877750770384,0.0001465917318972127,-1.696932297831072e-05
-0.012,0.0,7.554344187549802e-05,3.1877162644926756e-05,0.00018974378265421447,0.0006470195466131807,-0.0001464865084766092,-0.0002987054152266208
0.008,0.0,0.00010678490001399932,1.4486935655316598e-05,7.243566361110053e-05,0.00010956179762395391,0.0003044966719074494,-0.0004627216527245036
0.028,0.0,0.0001223920974523741,4.6999454272337e-05,9.201993791643305e-05,0.0002225410616179465,-0.00012351750843598078,-0.00030795989817123455
0.048,0.0,8.397297017934893e-05,4.8236755735429826e-05,6.183203780232727e-05,8.47222817619466e-05,2.26309132320083e-05,-0.00017886857107758528
0.068,0.0,8.397297017934893e-05,4.8236755735429826e-05,6.183203780232727e-05,8.47222817619466e-05,2.26309132320083e-05,-0.00017886857107758528
0.088,0.0,9.897588895942516e-05,3.582713939831488e-05,6.129721374062602e-05,0.00011073094132798592,0.00044644462438971305,-0.00032185673190215675
0.108,0.0,8.348107441204628e-05,6.404392909488245e-05,1.3278184794287261e-05,-2.904763515353646e-05,0.0005975672551346486,-0.0001800100943470005
0.128,0.0,3.8987264405934096e-05,6.770199241602777e-05,1.773325477389343e-05,-1.2985587935548992e-06,0.0011625440437869191,-0.00018273695112456704
0.148,0.0,5.860683623313389e-05,9.460002051783034e-05,8.061918598879952e-06,2.3410686495968295e-05,0.0014431197540062226,-0.00046562427845571285
0.168,0.0,5.860683623313389e-05,9.460002051783034e-05,8.061918598879952e-06,2.3410686495968295e-05,0.0014431197540062226,-0.00046562427845571285
0.188,0.0,-3.7084843220892225e-05,9.460317902630432e-05,2.158966072910168e-05,1.6531171513382098e-05,0.0017289273048230326,9.768528026768094e-05
0.208,0.0,7.645121876216119e-06,0.0001072488632573394,-2.2660348020544894e-05,-0.00012499757933487256,0.001591011033456949,-5.476068841615502e-05
0.228,0.0,-8.642813132294394e-05,9.18730100902098e-05,-5.629948329571821e-06,-0.00026333647608675577,0.0018849974211824394,0.00022777553620712557
0.248,0.0,1.3014470781375787e-06,0.00010131125732343599,1.5264348879114784e-05,2.4894623596417494e-06,0.0014464980010584323,9.87567496667601e-05
0.268,0.0,1.3014470781375787e-06,0.00010131125732343599,1.5264348879114784e-05,2.4894623596417494e-06,0.0014464980010584323,9.87567496667601e-05
0.288,0.0,2.265509657672629e-05,9.890112167003075e-05,-3.895927812148057e-06,1.3506371008274114e-06,0.0013046935396993416,-4.220660416820566e-05
0.308,0.0,5.993679541578589e-05,8.22798126706661e-05,-1.597848921019259e-05,-0.00015536180619416188,0.0008840923995961634,-0.00019264018990758453
0.328,0.0,4.1317572831207955e-05,5.976502732464217e-05,-3.5938585936946864e-05,-0.0002832015869862559,0.001177182962083951,-0.0001927849989754283
0.348,0.0,0.00012959911455682382,3.142843126296338e-05,-2.9646351169635353e-05,-0.00028702187380578325,0.0008931030833231512,-0.00047411113579869324
0.368,0.0,0.00012959911455682382,3.142843126296338e-05,-2.9646351169635353e-05,-0.00028702187380578325,0.0008931030833231512,-0.00047411113579869324
0.388,0.0,0.00013460458895877872,2.1075616883964762e-05,-7.813921087692019e-06,-0.0003011944900207726,0.0006103314631263221,-0.0004729652820269313
0.408,0.0,7.706253031137058e-05,9.233650351497353e-06,2.272214627449128e-05,-0.00012955379250610786,0.0013073644890948166,-0.0003354974702014726
0.428,0.0,0.0001615044232125539,-2.7117044546587222e-05,-3.5899038666354925e-05,-0.00040295936322969495,0.0011782545970594202,-0.0007691038653505464
0.448,0.0,0.0001653416869761657,-2.955550583538622e-05,1.8667498028796066e-05,-0.00013470106858132355,0.0008814071147122868,-0.0007574454438106975
0.468,0.0,0.0001653416869761657,-2.955550583538622e-05,1.8667498028796066e-05,-0.00013470106858132355,0.0008814071147122868,-0.0007574454438106975
0.488,0.0,0.00022559716278893092,-3.6127246488946626e-05,2.334557560250375e-05,-0.00013890093780669289,0.0005979758302335301,-0.0010392699579211586
0.508,0.0,0.0001691760685832692,-2.34544269231003e-05,9.491655505369163e-05,0.00013140240394628202,0.00044374499308058466,-0.000886681329038569
0.528,0.0,0.0001672858959406343,-5.634470179046043e-05,6.74097519924042e-05,-9.549200793115585e-06,0.0004529768138940007,-0.0008857314460953706
0.548,0.0,0.0001858240523268475,-2.4946353348167794e-05,8.345997533919878e-05,0.00015813717833380682,0.0008661299237992803,-0.001029334777262338
0.568,0.0,0.0001858240523268475,-2.4946353348167794e-05,8.345997533919878e-05,0.00015813717833380682,0.0008661299237992803,-0.001029334777262338
0.588,0.0,0.00018202514916988946,-7.5117784827836184e-06,0.00012855809147466356,0.0004260875514081057,0.0005700492896887936,-0.0010184540339106762
0.608,0.0,0.00010065112118384992,1.1558906255914271e-05,0.0002253360196349246,0.0008263380786423906,0.00041251013694920306,-0.0005712283748873255
